ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
237 -11996.8 11849.3 32.4774
238 -11997 11821.9 31.2383
239 -11997.1 11794.5 29.8154
240 -11997.2 11767.1 28.2178
241 -11997.4 11739.8 26.4557
242 -11997.6 11712.4 24.5345
243 -11997.8 11685.1 22.4625
244 -11998 11657.7 20.2554
245 -11998.2 11630.4 17.9389
246 -11998.5 11603.1 15.534
247 -11998.7 11575.8 13.0536
248 -11998.9 11548.5 10.5162
249 -11999.2 11521.2 7.936
250 -11999.4 11493.9 5.3209
251 -11999.7 11466.6 2.6728
252 -12000 11439.3 1.56319e-13
253 -12000 12560.7 12000
254 -11999.7 12533.4 12002.8
255 -11999.5 12506.1 12005.7
256 -11999.2 12478.8 12008.4
257 -11999 12451.6 12011.2
258 -11998.7 12424.3 12013.8
259 -11998.5 12397 12016.4
260 -11998.3 12369.7 12018.8
261 -11998 12342.3 12021.2
262 -11997.8 12315 12023.4
263 -11997.6 12287.7 12025.4
264 -11997.4 12260.3 12027.3
265 -11997.3 12233 12029.1
266 -11997.1 12205.6 12030.7
267 -11997 12178.2 12032.1
268 -11996.9 12150.8 12033.3
269 -11996.8 12123.4 12034.3
270 -11996.7 12096 12035
271 -11996.6 12068.6 12035.6
272 -11996.6 12041.2 12035.9
273 -11996.6 12013.7 12036
274 -11996.5 11986.3 12035.9
275 -11996.6 11958.9 12035.6
276 -11996.6 11931.5 12035.1
277 -11996.7 11904.1 12034.4
278 -11996.7 11876.7 12033.5
279 -11996.8 11849.3 12032.5
280 -11997 11821.9 12031.2
281 -11997.1 11794.5 12029.8
282 -11997.2 11767.1 12028.2
283 -11997.4 11739.8 12026.5
284 -11997.6 11712.4 12024.5
285 -11997.8 11685.1 12022.5
286 -11998 11657.7 12020.3
287 -11998.2 11630.4 12017.9
288 -11998.5 11603.1 12015.5
289 -11998.7 11575.8 12013.1
290 -11998.9 11548.5 12010.5
291 -11999.2 11521.2 12007.9
292 -11999.4 11493.9 12005.3
293 -11999.7 11466.6 12002.7
294 -12000 11439.3 12000
295 -12000 12560.7 24000
296 -11999.7 12533.4 24002.8
297 -11999.5 12506.1 24005.7
298 -11999.2 12478.8 24008.4
299 -11999 12451.6 24011.2
300 -11998.7 12424.3 24013.8
301 -11998.5 12397 24016.4
302 -11998.3 12369.7 24018.8
303 -11998 12342.3 24021.2
304 -11997.8 12315 24023.4
305 -11997.6 12287.7 24025.4
306 -11997.4 12260.3 24027.3
307 -11997.3 12233 24029.1
308 -11997.1 12205.6 24030.7
309 -11997 12178.2 24032.1
310 -11996.9 12150.8 24033.3
311 -11996.8 12123.4 24034.3
312 -11996.7 12096 24035
313 -11996.6 12068.6 24035.6
314 -11996.6 12041.2 24035.9
315 -11996.6 12013.7 24036
316 -11996.5 11986.3 24035.9
317 -11996.6 11958.9 24035.6
318 -11996.6 11931.5 24035.1
319 -11996.7 11904.1 24034.4
320 -11996.7 11876.7 24033.5
321 -11996.8 11849.3 24032.5
322 -11997 11821.9 24031.2
323 -11997.1 11794.5 24029.8
324 -11997.2 11767.1 24028.2
325 -11997.4 11739.8 24026.5
326 -11997.6 11712.4 24024.5
327 -11997.8 11685.1 24022.5
328 -11998 11657.7 24020.3
329 -11998.2 11630.4 24017.9
330 -11998.5 11603.1 24015.5
331 -11998.7 11575.8 24013.1
332 -11998.9 11548.5 24010.5
333 -11999.2 11521.2 24007.9
334 -11999.4 11493.9 24005.3
335 -11999.7 11466.6 24002.7
336 -12000 11439.3 24000
337 -4.76064e-13 560.67 -12000
338 0.26024 533.399 -11997.2
339 0.51333 506.126 -11994.3
340 0.762427 478.848 -11991.6
341 1.00873 451.566 -11988.8
342 1.25472 424.276 -11986.2
343 1.50219 396.977 -11983.6
344 1.74395 369.668 -11981.2
345 1.97253 342.349 -11978.8
346 2.18771 315.019 -11976.6
347 2.38764 287.678 -11974.6
348 2.56719 260.326 -11972.7
349 2.72888 232.963 -11970.9
350 2.87454 205.589 -11969.3
351 3.00324 178.206 -11967.9
352 3.11533 150.811 -11966.7
353 3.21165 123.41 -11965.7
354 3.29488 96.001 -11965
355 3.36361 68.5869 -11964.4
356 3.41427 41.1692 -11964.1
357 3.44654 13.7496 -11964
358 3.45996 -13.6702 -11964.1
359 3.44745 -41.0884 -11964.4
360 3.40789 -68.5036 -11964.9
361 3.34638 -95.9146 -11965.6
362 3.26649 -123.321 -11966.5
363 3.16741 -150.721 -11967.5
364 3.04847 -178.113 -11968.8
365 2.91209 -205.495 -11970.2
366 2.75588 -232.869 -11971.8
367 2.58121 -260.232 -11973.5
368 2.39128 -287.584 -11975.5
369 2.18756 -314.925 -11977.5
370 1.97548 -342.255 -11979.7
371 1.75977 -369.577 -11982.1
372 1.54646 -396.891 -11984.5
373 1.33061 -424.199 -11986.9
374 1.09856 -451.5 -11989.5
375 0.846001 -478.797 -11992.1
376 0.574146 -506.091 -11994.7
377 0.28727 -533.383 -11997.3
378 -4.76064e-13 -560.671 -12000
379 -4.76064e-13 560.67 1.56319e-13
380 0.26024 533.399 2.8393
381 0.51333 506.126 5.656
382 0.762427 478.848 8.4347
383 1.00873 451.566 11.1605
384 1.25472 424.276 13.8124
385 1.50219 396.977 16.3719
386 1.74395 369.668 18.8237
387 1.97253 342.349 21.1568
388 2.18771 315.019 23.3612
389 2.38764 287.678 25.4259
390 2.56719 260.326 27.3398
391 2.72888 232.963 29.094
392 2.87454 205.589 30.6801
393 3.00324 178.206 32.0792
394 3.11533 150.811 33.2723
395 3.21165 123.41 34.2509
396 3.29488 96.001 35.0163
397 3.36361 68.5869 35.5676
398 3.41427 41.1692 35.9053
399 3.44654 13.7496 36.025
400 3.45996 -13.6702 35.9236
401 3.44745 -41.0884 35.6105
402 3.40789 -68.5036 35.0999
403 3.34638 -95.9146 34.4046
404 3.26649 -123.321 33.5306
405 3.16741 -150.721 32.4774
406 3.04847 -178.113 31.2383
407 2.91209 -205.495 29.8154
408 2.75588 -232.869 28.2178
409 2.58121 -260.232 26.4557
410 2.39128 -287.584 24.5345
411 2.18756 -314.925 22.4625
412 1.97548 -342.255 20.2554
413 1.75977 -369.577 17.9389
414 1.54646 -396.891 15.534
415 1.33061 -424.199 13.0536
416 1.09856 -451.5 10.5162
417 0.846001 -478.797 7.936
418 0.574146 -506.091 5.3209
419 0.28727 -533.383 2.6728
420 -4.76064e-13 -560.671 1.56319e-13
421 -4.76064e-13 560.67 12000
422 0.26024 533.399 12002.8
423 0.51333 506.126 12005.7
424 0.762427 478.848 12008.4
425 1.00873 451.566 12011.2
426 1.25472 424.276 12013.8
427 1.50219 396.977 12016.4
428 1.74395 369.668 12018.8
429 1.97253 342.349 12021.2
430 2.18771 315.019 12023.4
431 2.38764 287.678 12025.4
432 2.56719 260.326 12027.3
433 2.72888 232.963 12029.1
434 2.87454 205.589 12030.7
435 3.00324 178.206 12032.1
436 3.11533 150.811 12033.3
437 3.21165 123.41 12034.3
438 3.29488 96.001 12035
439 3.36361 68.5869 12035.6
440 3.41427 41.1692 12035.9
441 3.44654 13.7496 12036
442 3.45996 -13.6702 12035.9
443 3.44745 -41.0884 12035.6
444 3.40789 -68.5036 12035.1
445 3.34638 -95.9146 12034.4
446 3.26649 -123.321 12033.5
447 3.16741 -150.721 12032.5
448 3.04847 -178.113 12031.2
449 2.91209 -205.495 12029.8
450 2.75588 -232.869 12028.2
451 2.58121 -260.232 12026.5
452 2.39128 -287.584 12024.5
453 2.18756 -314.925 12022.5
454 1.97548 -342.255 12020.3
455 1.75977 -369.577 12017.9
456 1.54646 -396.891 12015.5
457 1.33061 -424.199 12013.1
458 1.09856 -451.5 12010.5
459 0.846001 -478.797 12007.9
460 0.574146 -506.091 12005.3
461 0.28727 -533.383 12002.7
462 -4.76064e-13 -560.671 12000
463 -4.76064e-13 560.67 24000
464 0.26024 533.399 24002.8
465 0.51333 506.126 24005.7
466 0.762427 478.848 24008.4
467 1.00873 451.566 24011.2
468 1.25472 424.276 24013.8
469 1.50219 396.977 24016.4
470 1.74395 369.668 24018.8
471 1.97253 342.349 24021.2
472 2.18771 315.019 24023.4
473 2.38764 287.678 24025.4
474 2.56719 260.326 24027.3
475 2.72888 232.963 24029.1
476 2.87454 205.589 24030.7
477 3.00324 178.206 24032.1
478 3.11533 150.811 24033.3
479 3.21165 123.41 24034.3
480 3.29488 96.001 24035
481 3.36361 68.5869 24035.6
482 3.41427 41.1692 24035.9
483 3.44654 13.7496 24036
484 3.45996 -13.6702 24035.9
485 3.44745 -41.0884 24035.6
486 3.40789 -68.5036 24035.1
487 3.34638 -95.9146 24034.4
488 3.26649 -123.321 24033.5
489 3.16741 -150.721 24032.5
490 3.04847 -178.113 24031.2
491 2.91209 -205.495 24029.8
492 2.75588 -232.869 24028.2
493 2.58121 -260.232 24026.5
494 2.39128 -287.584 24024.5
495 2.18756 -314.925 24022.5
496 1.97548 -342.255 24020.3
497 1.75977 -369.577 24017.9
498 1.54646 -396.891 24015.5
499 1.33061 -424.199 24013.1
500 1.09856 -451.5 24010.5
501 0.846001 -478.797 24007.9
502 0.574146 -506.091 24005.3
503 0.28727 -533.383 24002.7
504 -4.76064e-13 -560.671 24000
505 -4.76064e-13 12560.7 -12000
506 0.26024 12533.4 -11997.2
507 0.51333 12506.1 -11994.3
508 0.762427 12478.8 -11991.6
509 1.00873 12451.6 -11988.8
510 1.25472 12424.3 -11986.2
511 1.50219 12397 -11983.6
512 1.74395 12369.7 -11981.2
513 1.97253 12342.3 -11978.8
514 2.18771 12315 -11976.6
515 2.38764 12287.7 -11974.6
516 2.56719 12260.3 -11972.7
517 2.72888 12233 -11970.9
518 2.87454 12205.6 -11969.3
519 3.00324 12178.2 -11967.9
520 3.11533 12150.8 -11966.7
521 3.21165 12123.4 -11965.7
522 3.29488 12096 -11965
523 3.36361 12068.6 -11964.4
524 3.41427 12041.2 -11964.1
525 3.44654 12013.7 -11964
526 3.45996 11986.3 -11964.1
527 3.44745 11958.9 -11964.4
528 3.40789 11931.5 -11964.9
529 3.34638 11904.1 -11965.6
530 3.26649 11876.7 -11966.5
531 3.16741 11849.3 -11967.5
532 3.04847 11821.9 -11968.8
533 2.91209 11794.5 -11970.2
534 2.75588 11767.1 -11971.8
535 2.58121 11739.8 -11973.5
536 2.39128 11712.4 -11975.5
537 2.18756 11685.1 -11977.5
538 1.97548 11657.7 -11979.7
539 1.75977 11630.4 -11982.1
540 1.54646 11603.1 -11984.5
541 1.33061 11575.8 -11986.9
542 1.09856 11548.5 -11989.5
543 0.846001 11521.2 -11992.1
544 0.574146 11493.9 -11994.7
545 0.28727 11466.6 -11997.3
546 -4.76064e-13 11439.3 -12000
547 -4.76064e-13 12560.7 1.56319e-13
548 0.26024 12533.4 2.8393
549 0.51333 12506.1 5.656
550 0.762427 12478.8 8.4347
551 1.00873 12451.6 11.1605
552 1.25472 12424.3 13.8124
553 1.50219 12397 16.3719
554 1.74395 12369.7 18.8237
555 1.97253 12342.3 21.1568
556 2.18771 12315 23.3612
557 2.38764 12287.7 25.4259
558 2.56719 12260.3 27.3398
559 2.72888 12233 29.094
560 2.87454 12205.6 30.6801
561 3.00324 12178.2 32.0792
562 3.11533 12150.8 33.2723
563 3.21165 12123.4 34.2509
564 3.29488 12096 35.0163
565 3.36361 12068.6 35.5676
566 3.41427 12041.2 35.9053
567 3.44654 12013.7 36.025
568 3.45996 11986.3 35.9236
569 3.44745 11958.9 35.6105
570 3.40789 11931.5 35.0999
571 3.34638 11904.1 34.4046
572 3.26649 11876.7 33.5306
573 3.16741 11849.3 32.4774
574 3.04847 11821.9 31.2383
575 2.91209 11794.5 29.8154
576 2.75588 11767.1 28.2178
577 2.58121 11739.8 26.4557
578 2.39128 11712.4 24.5345
579 2.18756 11685.1 22.4625
580 1.97548 11657.7 20.2554
581 1.75977 11630.4 17.9389
582 1.54646 11603.1 15.534
583 1.33061 11575.8 13.0536
584 1.09856 11548.5 10.5162
585 0.846001 11521.2 7.936
586 0.574146 11493.9 5.3209
587 0.28727 11466.6 2.6728
588 -4.76064e-13 11439.3 1.56319e-13
589 -4.76064e-13 12560.7 12000
590 0.26024 12533.4 12002.8
591 0.51333 12506.1 12005.7
592 0.762427 12478.8 12008.4
593 1.00873 12451.6 12011.2
594 1.25472 12424.3 12013.8
595 1.50219 12397 12016.4
596 1.74395 12369.7 12018.8
597 1.97253 12342.3 12021.2
598 2.18771 12315 12023.4
599 2.38764 12287.7 12025.4
600 2.56719 12260.3 12027.3
601 2.72888 12233 12029.1
602 2.87454 12205.6 12030.7
603 3.00324 12178.2 12032.1
604 3.11533 12150.8 12033.3
605 3.21165 12123.4 12034.3
606 3.29488 12096 12035
607 3.36361 12068.6 12035.6
608 3.41427 12041.2 12035.9
609 3.44654 12013.7 12036
610 3.45996 11986.3 12035.9
611 3.44745 11958.9 12035.6
612 3.40789 11931.5 12035.1
613 3.34638 11904.1 12034.4
614 3.26649 11876.7 12033.5
615 3.16741 11849.3 12032.5
616 3.04847 11821.9 12031.2
617 2.91209 11794.5 12029.8
618 2.75588 11767.1 12028.2
619 2.58121 11739.8 12026.5
620 2.39128 11712.4 12024.5
621 2.18756 11685.1 12022.5
622 1.97548 11657.7 12020.3
623 1.75977 11630.4 12017.9
624 1.54646 11603.1 12015.5
625 1.33061 11575.8 12013.1
626 1.09856 11548.5 12010.5
627 0.846001 11521.2 12007.9
628 0.574146 11493.9 12005.3
629 0.28727 11466.6 12002.7
630 -4.76064e-13 11439.3 12000
631 -4.76064e-13 12560.7 24000
632 0.26024 12533.4 24002.8
633 0.51333 12506.1 24005.7
634 0.762427 12478.8 24008.4
635 1.00873 12451.6 24011.2
636 1.25472 12424.3 24013.8
637 1.50219 12397 24016.4
638 1.74395 12369.7 24018.8
639 1.97253 12342.3 24021.2
640 2.18771 12315 24023.4
641 2.38764 12287.7 24025.4
642 2.56719 12260.3 24027.3
643 2.72888 12233 24029.1
644 2.87454 12205.6 24030.7
645 3.00324 12178.2 24032.1
646 3.11533 12150.8 24033.3
647 3.21165 12123.4 24034.3
648 3.29488 12096 24035
649 3.36361 12068.6 24035.6
650 3.41427 12041.2 24035.9
651 3.44654 12013.7 24036
652 3.45996 11986.3 24035.9
653 3.44745 11958.9 24035.6
654 3.40789 11931.5 24035.1
655 3.34638 11904.1 24034.4
656 3.26649 11876.7 24033.5
657 3.16741 11849.3 24032.5
658 3.04847 11821.9 24031.2
659 2.91209 11794.5 24029.8
660 2.75588 11767.1 24028.2
661 2.58121 11739.8 24026.5
662 2.39128 11712.4 24024.5
663 2.18756 11685.1 24022.5
664 1.97548 11657.7 24020.3
665 1.75977 11630.4 24017.9
666 1.54646 11603.1 24015.5
667 1.33061 11575.8 24013.1
668 1.09856 11548.5 24010.5
669 0.846001 11521.2 24007.9
670 0.574146 11493.9 24005.3
671 0.28727 11466.6 24002.7
672 -4.76064e-13 11439.3 24000
673 12000 560.67 -12000
674 12000.3 533.399 -11997.2
675 12000.5 506.126 -11994.3
676 12000.8 478.848 -11991.6
677 12001 451.566 -11988.8
678 12001.3 424.276 -11986.2
679 12001.5 396.977 -11983.6
680 12001.7 369.668 -11981.2
681 12002 342.349 -11978.8
682 12002.2 315.019 -11976.6
683 12002.4 287.678 -11974.6
684 12002.6 260.326 -11972.7
685 12002.7 232.963 -11970.9
686 12002.9 205.589 -11969.3
687 12003 178.206 -11967.9
688 12003.1 150.811 -11966.7
689 12003.2 123.41 -11965.7
690 12003.3 96.001 -11965
691 12003.4 68.5869 -11964.4
692 12003.4 41.1692 -11964.1
693 12003.4 13.7496 -11964
694 12003.5 -13.6702 -11964.1
695 12003.4 -41.0884 -11964.4
696 12003.4 -68.5036 -11964.9
697 12003.3 -95.9146 -11965.6
698 12003.3 -123.321 -11966.5
699 12003.2 -150.721 -11967.5
700 12003 -178.113 -11968.8
701 12002.9 -205.495 -11970.2
702 12002.8 -232.869 -11971.8
703 12002.6 -260.232 -11973.5
704 12002.4 -287.584 -11975.5
705 12002.2 -314.925 -11977.5
706 12002 -342.255 -11979.7
707 12001.8 -369.577 -11982.1
708 12001.5 -396.891 -11984.5
709 12001.3 -424.199 -11986.9
710 12001.1 -451.5 -11989.5
711 12000.8 -478.797 -11992.1
712 12000.6 -506.091 -11994.7
713 12000.3 -533.383 -11997.3
714 12000 -560.671 -12000
715 12000 560.67 1.56319e-13
716 12000.3 533.399 2.8393
717 12000.5 506.126 5.656
718 12000.8 478.848 8.4347
719 12001 451.566 11.1605
720 12001.3 424.276 13.8124
721 12001.5 396.977 16.3719
722 12001.7 369.668 18.8237
723 12002 342.349 21.1568
724 12002.2 315.019 23.3612
725 12002.4 287.678 25.4259
726 12002.6 260.326 27.3398
727 12002.7 232.963 29.094
728 12002.9 205.589 30.6801
729 12003 178.206 32.0792
730 12003.1 150.811 33.2723
731 12003.2 123.41 34.2509
732 12003.3 96.001 35.0163
733 12003.4 68.5869 35.5676
734 12003.4 41.1692 35.9053
735 12003.4 13.7496 36.025
736 12003.5 -13.6702 35.9236
737 12003.4 -41.0884 35.6105
738 12003.4 -68.5036 35.0999
739 12003.3 -95.9146 34.4046
740 12003.3 -123.321 33.5306
741 12003.2 -150.721 32.4774
742 12003 -178.113 31.2383
743 12002.9 -205.495 29.8154
744 12002.8 -232.869 28.2178
745 12002.6 -260.232 26.4557
746 12002.4 -287.584 24.5345
747 12002.2 -314.925 22.4625
748 12002 -342.255 20.2554
749 12001.8 -369.577 17.9389
750 12001.5 -396.891 15.534
751 12001.3 -424.199 13.0536
752 12001.1 -451.5 10.5162
753 12000.8 -478.797 7.936
754 12000.6 -506.091 5.3209
755 12000.3 -533.383 2.6728
756 12000 -560.671 1.56319e-13
757 12000 560.67 12000
758 12000.3 533.399 12002.8
759 12000.5 506.126 12005.7
760 12000.8 478.848 12008.4
761 12001 451.566 12011.2
762 12001.3 424.276 12013.8
763 12001.5 396.977 12016.4
764 12001.7 369.668 12018.8
765 12002 342.349 12021.2
766 12002.2 315.019 12023.4
767 12002.4 287.678 12025.4
768 12002.6 260.326 12027.3
769 12002.7 232.963 12029.1
770 12002.9 205.589 12030.7
771 12003 178.206 12032.1
772 12003.1 150.811 12033.3
773 12003.2 123.41 12034.3
774 12003.3 96.001 12035
775 12003.4 68.5869 12035.6
776 12003.4 41.1692 12035.9
777 12003.4 13.7496 12036
778 12003.5 -13.6702 12035.9
779 12003.4 -41.0884 12035.6
780 12003.4 -68.5036 12035.1
781 12003.3 -95.9146 12034.4
782 12003.3 -123.321 12033.5
783 12003.2 -150.721 12032.5
784 12003 -178.113 12031.2
785 12002.9 -205.495 12029.8
786 12002.8 -232.869 12028.2
787 12002.6 -260.232 12026.5
788 12002.4 -287.584 12024.5
789 12002.2 -314.925 12022.5
790 12002 -342.255 12020.3
791 12001.8 -369.577 12017.9
792 12001.5 -396.891 12015.5
793 12001.3 -424.199 12013.1
794 12001.1 -451.5 12010.5
795 12000.8 -478.797 12007.9
796 12000.6 -506.091 12005.3
797 12000.3 -533.383 12002.7
798 12000 -560.671 12000
799 12000 560.67 24000
800 12000.3 533.399 24002.8
801 12000.5 506.126 24005.7
802 12000.8 478.848 24008.4
803 12001 451.566 24011.2
804 12001.3 424.276 24013.8
805 12001.5 396.977 24016.4
806 12001.7 369.668 24018.8
